Word,openness,conscientiousness,Extroversion,agreeableness,neuroticism,feature based
envolvente,-1.7961328212468555,-5.826602445809198,0.524888617269312,-0.7927021152244772,-3.061755354006862,11.35371301452077
cativante,-0.4984797179382888,-7.362420575377705,4.352619014942642,-2.327875604935592,-6.992544460258834,13.255982721718965
experiência,4.317430636772944,-5.86804821861358,0.40991143042336936,-1.5726430573879755,-7.081735689678751,10.122865292737918
criar,-3.9002345103802454,-8.275850720877132,3.584429306809956,2.455301707041998,-2.3646169865703124,8.658309211751986
melodia,-2.291465494513464,-0.333831431450684,-3.0359398269875113,4.58894243224814,2.1048594284458755,-1.0443879351840857
sonoro,12.935918163593943,-1.2643811594001064,-4.2734930135032325,-5.78734672317891,-6.507767728848339,5.083474257015278
ritmo,-4.130983250533805,0.5277321077905994,4.104077175070558,-2.7144529842259826,-0.25430553257232474,2.607324369234821
letra,2.98852689230072,1.9845839262795708,-2.2875727634471974,0.48903811898657507,3.396839551857844,-6.898452920234046
canção,-1.2016237455685856,-1.973238923570796,-1.7770674577426835,3.4386848463526314,-1.287096183516862,2.944513078718272
poderoso,-4.547787353813509,-4.049942484127467,4.437857970901036,-2.17713310383292,2.686922642716039,3.6146439309422713
oferecer,0.19481586030904055,3.687771508827002,-7.438890316508699,-2.6671370362483198,11.614626792608789,-5.633378204943532
ideal,-2.137722931430707,6.564806026096991,9.51974955363634,-0.6424415807415863,-8.526493527221312,-4.720300105704634
proporcionar,-4.662984743254382,3.0195759328394964,-2.7583642215280584,-2.6730796119746434,12.104751031538601,-5.2927111117097265
música,-0.8984863555411879,4.195201846160342,2.0810732007930937,-0.5927985779185336,1.757921162556633,-6.765126380376193
batida,-2.2536623010588595,-1.6577260823846465,5.537222963520492,-5.127309373109249,-1.4426135374910658,5.08901674700932
introspectivo,8.408027075808343,0.4784221410119241,-6.152664242184187,-0.7147731885890648,-0.17040252405124892,-1.9478811074843132
auditivo,9.1724313369257,-2.40431389926867,-7.521009454370685,-3.713756285247325,-7.867551766651491,12.992428923281826
produção,-0.5773871849023967,0.5398022185626808,-6.017630048513656,-5.702241833943582,-6.971549095879129,19.925778162755005
vocal,-4.822655260068218,-8.666423633951164,-3.4487253188054527,-3.1955496555797005,-1.5079567867076498,22.545927290956158
vibrante,-2.1629960195859925,-7.586383486914539,21.351799559793815,-3.3988537398963667,-5.174917480460376,-3.700885296022983
faixa,-3.0529036524207345,-4.426258407020305,0.38098854256558967,-4.067861749063692,-4.267110538980738,16.15299662508457
intenso,1.1767721539698974,-5.14989264730493,6.052382240086232,-4.484830498165342,3.7000934113892803,-1.760293014257929
dinâmico,-0.5051136092947706,-5.797561100441152,9.687367047585925,-7.305945619780626,-5.570682655670382,9.68603699164422
combinar,2.153682987923257,-3.8336041914722023,-1.2326609379133802,-2.3072787972893156,-5.2323403588722215,10.914432963579289
ouvinte,7.217776783294933,-4.597315295633841,-5.353379121727527,-2.800713587272918,-1.2593931902879667,6.952840860007746
elemento,3.934542555979158,-3.2698085139177655,-4.675971194824487,-4.985841629030743,-4.7017770858909,14.359980008692814
arranjo,1.5588873622139228,0.7848947827526163,-5.863601743839005,-3.469393350605759,-4.557646038838233,12.313829205433859
rico,14.0645648621404,-4.808694221297214,-5.1662911884944345,-4.029817711257292,-7.231049511648489,7.349447135278437
fusão,11.457440101634784,-5.316144467741472,-5.045366295823595,-4.912971258104081,-4.278443878420133,8.27814125773323
momento,-8.966366752754157,-1.5111365710298843,10.32933327329601,3.1599003387052425,0.3278991959777419,-3.599981920387945
suave,-7.214288802977225,-0.19105117606021413,-8.972696184449836,6.307545418361332,5.761633242244408,4.675877068329226
harmonia,-4.343916365440896,4.728232249678022,-7.560871211755802,9.67921074073619,-3.340282951140971,1.3409148342091362
estrutura,-4.90571340529196,19.97604037637876,-7.084214649215512,-7.063650321200601,-6.601973959223526,7.050469323822587
manter,-5.3548252838318735,10.07905861215865,0.3737240059680023,-5.074225531709075,-6.159200587756551,7.023066774877527
atenção,-5.3352306185417975,10.303256993765652,1.659916067243777,-5.405406412234961,-5.021193900331697,4.532806749725855
atmosfera,-2.1864715760917477,-3.7630891686379373,5.112117956163264,-0.08154697959133661,-2.505078687735898,3.4479402873881493
pulsante,-2.3784467129706894,-4.240338832654384,6.542124490133483,-5.391231136506415,-3.5044565975457274,9.244716837143637
riff,-2.6879063089816126,-2.474250805950926,4.625627876734543,-3.8954557255343576,-2.9082322199609862,7.626980885421797
energético,-2.464575439915194,-2.313192236033772,6.9103258356269,-2.5644769676031,-1.2364032839563492,1.6047646580405963
memorável,-5.242610050655112,-5.758117585406327,0.8410817747023456,-4.627585009839498,-6.092079975686634,21.881862430958414
guitarra,-3.501432408938829,-5.477895096422888,-0.11326306160848469,-4.541131234331627,-3.2483961045053276,17.627835049708217
refrão,-5.097509494477701,-5.130001555566339,1.2794742806820214,-4.289438797294293,-5.124527849454307,19.23458296707248
destacar,-5.080696625983378,-0.7350660950299354,-2.320164418857956,-1.9821082367409755,-5.280144960890164,16.35986030375588
marcante,-4.586507287606507,-3.4913333149107655,0.6762598620851088,-4.666979817903018,-4.432027479302557,17.331086551140924
apresentar,-3.535444903313109,-2.159471857349923,-3.934666066611019,-3.8248783698881392,-4.343824516467136,18.80599257525223
instrumental,-0.12505743775702105,-2.433517498377674,-3.5800484945678743,-1.0315758573856901,-2.5163389803921237,10.187427933920329
pop,0.3389519832395156,-3.823762367288018,-4.104753526151797,-3.7962177033300226,-3.9104563854405843,16.04846081911004
